task,trajectory_id,state_index,robot,object_1,object_2,object_3,object_4,object_5,object_6,object_7,object_8,object_9,object_10,object_11,object_12,object_13,object_14,object_15,object_16,object_17,object_18,object_19,object_20,actions
"navigate to (x=-1.50,y=-0.30,yaw=47.7)",3238,1,"(x=1.04,y=-1.03,yaw=166.1)",,,,"circle,0,[0.257],(x=0.36,y=-1.61,yaw=178.7)","rect,1,[0.709, 0.403],(x=0.99,y=-0.51,yaw=-4.3)","rect,0,[0.41, 0.386],(x=0.26,y=-2.18,yaw=-3.9)",,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-1.50,y=-0.30,yaw=47.7)}"
"navigate to (x=1.50,y=0.06,yaw=-82.6)",3239,0,"(x=-1.02,y=1.99,yaw=-35.7)","rect,1,[0.72, 0.418],(x=-0.99,y=1.27,yaw=-176.3)","rect,0,[0.458, 0.352],(x=0.76,y=0.46,yaw=-60.4)",,"rect,0,[0.411, 0.381],(x=-0.25,y=2.18,yaw=0.6)","circle,0,[0.26],(x=-0.37,y=1.63,yaw=-0.6)","rect,1,[0.414, 0.498],(x=0.81,y=2.15,yaw=-154.4)",,,,,,,,,,,,,,,"{skill:manipulate_to, object_id:1, goal:(x=-0.99,y=0.50,yaw=-175.4)}"
"navigate to (x=1.50,y=0.06,yaw=-82.6)",3239,1,"(x=-1.00,y=1.04,yaw=-32.1)","rect,1,[0.72, 0.418],(x=-0.99,y=0.50,yaw=-175.4)","rect,0,[0.458, 0.352],(x=0.76,y=0.46,yaw=-60.4)",,"rect,0,[0.411, 0.381],(x=-0.25,y=2.18,yaw=0.6)","circle,0,[0.26],(x=-0.37,y=1.63,yaw=-0.6)","rect,1,[0.414, 0.498],(x=0.81,y=2.15,yaw=-154.4)",,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=1.50,y=0.06,yaw=-82.6)}"
"navigate to (x=-1.25,y=-1.20,yaw=-171.2)",3240,0,"(x=1.06,y=1.98,yaw=-138.9)","rect,1,[0.701, 0.414],(x=0.99,y=1.26,yaw=3.1)",,"circle,0,[0.241],(x=0.37,y=1.64,yaw=178.4)","rect,0,[0.404, 0.412],(x=0.25,y=2.18,yaw=176.8)",,,,,,,,,,,,,,,,,"{skill:manipulate_to, object_id:1, goal:(x=0.99,y=0.49,yaw=3.0)}"
"navigate to (x=-1.25,y=-1.20,yaw=-171.2)",3240,1,"(x=1.03,y=1.04,yaw=-142.5)","rect,1,[0.701, 0.414],(x=0.99,y=0.49,yaw=3.0)",,"circle,0,[0.241],(x=0.37,y=1.64,yaw=178.4)","rect,0,[0.404, 0.412],(x=0.25,y=2.18,yaw=176.8)",,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-1.25,y=-1.20,yaw=-171.2)}"
"navigate to (x=0.42,y=1.36,yaw=-106.8)",3241,0,"(x=-1.03,y=-1.98,yaw=35.0)","circle,0,[0.239],(x=-0.35,y=-1.62,yaw=1.1)","rect,0,[0.384, 0.383],(x=-0.24,y=-2.17,yaw=179.3)","rect,1,[0.677, 0.408],(x=-1.02,y=-1.27,yaw=-2.1)",,,,,,,,,,,,,,,,,,"{skill:manipulate_to, object_id:3, goal:(x=-1.02,y=-0.51,yaw=-2.2)}"
"navigate to (x=0.42,y=1.36,yaw=-106.8)",3241,1,"(x=-1.01,y=-1.06,yaw=32.5)","circle,0,[0.239],(x=-0.35,y=-1.62,yaw=1.1)","rect,0,[0.384, 0.383],(x=-0.24,y=-2.17,yaw=179.3)","rect,1,[0.677, 0.408],(x=-1.02,y=-0.51,yaw=-2.2)",,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=0.42,y=1.36,yaw=-106.8)}"
"navigate to (x=-0.74,y=-0.41,yaw=160.7)",3242,0,"(x=1.03,y=-1.99,yaw=136.0)","rect,1,[0.693, 0.381],(x=1.01,y=-1.26,yaw=0.4)","rect,0,[0.684, 0.695],(x=0.82,y=1.13,yaw=88.4)","circle,0,[0.259],(x=0.37,y=-1.65,yaw=2.0)","rect,0,[0.41, 0.405],(x=0.26,y=-2.19,yaw=-179.7)",,,,,,,,,,,,,,,,,"{skill:manipulate_to, object_id:1, goal:(x=1.02,y=-0.49,yaw=0.5)}"
"navigate to (x=-0.74,y=-0.41,yaw=160.7)",3242,1,"(x=1.01,y=-1.05,yaw=131.7)","rect,1,[0.693, 0.381],(x=1.02,y=-0.49,yaw=0.5)","rect,0,[0.684, 0.695],(x=0.82,y=1.13,yaw=88.4)","circle,0,[0.259],(x=0.37,y=-1.65,yaw=2.0)","rect,0,[0.41, 0.405],(x=0.26,y=-2.19,yaw=-179.7)",,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-0.74,y=-0.41,yaw=160.7)}"
"navigate to (x=1.15,y=0.19,yaw=-178.2)",3243,0,"(x=-1.05,y=1.97,yaw=-14.1)",,,"circle,0,[0.251],(x=-0.36,y=1.65,yaw=176.8)","rect,0,[0.395, 0.384],(x=-0.22,y=2.18,yaw=176.1)","rect,1,[0.671, 0.382],(x=-0.98,y=1.29,yaw=-2.3)","rect,1,[0.672, 0.231],(x=0.99,y=2.11,yaw=58.7)",,,,,,,,,,,,,,,"{skill:manipulate_to, object_id:5, goal:(x=-0.98,y=0.52,yaw=-2.1)}"
"navigate to (x=1.15,y=0.19,yaw=-178.2)",3243,1,"(x=-1.03,y=1.03,yaw=-14.3)",,,"circle,0,[0.251],(x=-0.36,y=1.65,yaw=176.8)","rect,0,[0.395, 0.384],(x=-0.22,y=2.18,yaw=176.1)","rect,1,[0.671, 0.382],(x=-0.98,y=0.52,yaw=-2.1)","rect,1,[0.672, 0.231],(x=0.99,y=2.11,yaw=58.7)",,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=1.15,y=0.19,yaw=-178.2)}"
"navigate to (x=1.26,y=1.69,yaw=56.7)",3244,0,"(x=-1.06,y=-1.99,yaw=24.2)","rect,1,[0.679, 0.388],(x=-1.00,y=-1.26,yaw=177.5)",,,,"circle,0,[0.25],(x=-0.35,y=-1.63,yaw=3.6)","rect,0,[0.401, 0.387],(x=-0.24,y=-2.19,yaw=-176.6)",,,,,,,,,,,,,,,"{skill:manipulate_to, object_id:1, goal:(x=-1.00,y=-0.49,yaw=177.1)}"
"navigate to (x=1.26,y=1.69,yaw=56.7)",3244,1,"(x=-1.04,y=-1.03,yaw=28.3)","rect,1,[0.679, 0.388],(x=-1.00,y=-0.49,yaw=177.1)",,,,"circle,0,[0.25],(x=-0.35,y=-1.63,yaw=3.6)","rect,0,[0.401, 0.387],(x=-0.24,y=-2.19,yaw=-176.6)",,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=1.26,y=1.69,yaw=56.7)}"
"navigate to (x=-1.19,y=-1.17,yaw=-169.2)",3245,0,"(x=1.02,y=1.96,yaw=-150.4)","circle,0,[0.261],(x=0.35,y=1.64,yaw=-177.4)","rect,0,[0.384, 0.385],(x=0.25,y=2.16,yaw=-179.3)",,"rect,1,[0.729, 0.398],(x=0.99,y=1.26,yaw=-178.6)",,,,,,,,,,,,,,,,,"{skill:manipulate_to, object_id:4, goal:(x=0.99,y=0.49,yaw=-178.6)}"
"navigate to (x=-1.19,y=-1.17,yaw=-169.2)",3245,1,"(x=1.01,y=1.03,yaw=-145.5)","circle,0,[0.261],(x=0.35,y=1.64,yaw=-177.4)","rect,0,[0.384, 0.385],(x=0.25,y=2.16,yaw=-179.3)",,"rect,1,[0.729, 0.398],(x=0.99,y=0.49,yaw=-178.6)",,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-1.19,y=-1.17,yaw=-169.2)}"
"navigate to (x=0.05,y=-0.61,yaw=-52.5)",3246,0,"(x=-1.06,y=-2.00,yaw=29.2)","rect,1,[0.718, 0.39],(x=-1.01,y=-1.26,yaw=1.7)","circle,0,[0.166],(x=0.75,y=0.97,yaw=24.6)","circle,0,[0.249],(x=-0.37,y=-1.62,yaw=178.7)",,,"rect,0,[0.412, 0.419],(x=-0.24,y=-2.19,yaw=-178.3)",,,,,,,,,,,,,,,"{skill:manipulate_to, object_id:1, goal:(x=-1.01,y=-0.50,yaw=0.8)}"
"navigate to (x=0.05,y=-0.61,yaw=-52.5)",3246,1,"(x=-1.03,y=-1.04,yaw=25.4)","rect,1,[0.718, 0.39],(x=-1.01,y=-0.50,yaw=0.8)","circle,0,[0.166],(x=0.75,y=0.97,yaw=24.6)","circle,0,[0.249],(x=-0.37,y=-1.62,yaw=178.7)",,,"rect,0,[0.412, 0.419],(x=-0.24,y=-2.19,yaw=-178.3)",,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=0.05,y=-0.61,yaw=-52.5)}"
"navigate to (x=0.54,y=0.56,yaw=19.9)",3247,0,"(x=-1.05,y=1.97,yaw=-15.9)",,"rect,1,[0.687, 0.411],(x=-1.00,y=1.29,yaw=-178.5)","rect,0,[0.404, 0.416],(x=-0.25,y=2.18,yaw=-177.0)","circle,0,[0.259],(x=-0.34,y=1.63,yaw=177.0)",,,,,,,,,,,,,,,,,"{skill:manipulate_to, object_id:2, goal:(x=-1.00,y=0.52,yaw=-177.7)}"
"navigate to (x=0.54,y=0.56,yaw=19.9)",3247,1,"(x=-1.02,y=1.03,yaw=-18.0)",,"rect,1,[0.687, 0.411],(x=-1.00,y=0.52,yaw=-177.7)","rect,0,[0.404, 0.416],(x=-0.25,y=2.18,yaw=-177.0)","circle,0,[0.259],(x=-0.34,y=1.63,yaw=177.0)",,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=0.54,y=0.56,yaw=19.9)}"
"navigate to (x=1.29,y=0.44,yaw=68.2)",3248,0,"(x=-1.04,y=-1.98,yaw=52.4)","rect,1,[0.705, 0.416],(x=-1.00,y=-1.25,yaw=4.9)","circle,0,[0.255],(x=-0.34,y=-1.64,yaw=178.8)",,,"rect,0,[0.4, 0.405],(x=-0.25,y=-2.19,yaw=1.3)",,,,,,,,,,,,,,,,"{skill:manipulate_to, object_id:1, goal:(x=-1.00,y=-0.48,yaw=4.4)}"
"navigate to (x=1.29,y=0.44,yaw=68.2)",3248,1,"(x=-1.01,y=-1.05,yaw=48.9)","rect,1,[0.705, 0.416],(x=-1.00,y=-0.48,yaw=4.4)","circle,0,[0.255],(x=-0.34,y=-1.64,yaw=178.8)",,,"rect,0,[0.4, 0.405],(x=-0.25,y=-2.19,yaw=1.3)",,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=1.29,y=0.44,yaw=68.2)}"
"navigate to (x=0.34,y=-0.65,yaw=163.8)",3249,0,"(x=-1.06,y=1.98,yaw=-16.8)",,"rect,0,[0.406, 0.415],(x=-0.25,y=2.19,yaw=4.7)","rect,1,[0.886, 0.376],(x=0.57,y=0.51,yaw=44.8)","circle,1,[0.172],(x=0.53,y=1.42,yaw=-24.7)","rect,1,[0.677, 0.406],(x=-1.00,y=1.29,yaw=2.3)","circle,0,[0.251],(x=-0.38,y=1.64,yaw=-176.4)",,,,,,,,,,,,,,,"{skill:manipulate_to, object_id:5, goal:(x=-0.99,y=0.51,yaw=1.5)}"
"navigate to (x=0.34,y=-0.65,yaw=163.8)",3249,1,"(x=-1.04,y=1.04,yaw=-18.9)",,"rect,0,[0.406, 0.415],(x=-0.25,y=2.19,yaw=4.7)","rect,1,[0.886, 0.376],(x=0.57,y=0.51,yaw=44.8)","circle,1,[0.172],(x=0.53,y=1.42,yaw=-24.7)","rect,1,[0.677, 0.406],(x=-0.99,y=0.51,yaw=1.5)","circle,0,[0.251],(x=-0.38,y=1.64,yaw=-176.4)",,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=0.34,y=-0.65,yaw=163.8)}"
"navigate to (x=0.21,y=-0.99,yaw=64.0)",3250,0,"(x=-1.03,y=1.98,yaw=-27.0)","rect,1,[0.409, 0.289],(x=-0.43,y=-1.90,yaw=108.2)",,"circle,0,[0.25],(x=-0.36,y=1.65,yaw=176.9)","rect,1,[0.693, 0.302],(x=0.78,y=1.52,yaw=-84.3)","rect,1,[0.71, 0.411],(x=-1.01,y=1.29,yaw=-2.0)","rect,0,[0.42, 0.384],(x=-0.24,y=2.16,yaw=-178.6)",,,,,,,,,,,,,,,"{skill:manipulate_to, object_id:5, goal:(x=-1.01,y=0.52,yaw=-1.5)}"
"navigate to (x=0.21,y=-0.99,yaw=64.0)",3250,1,"(x=-1.02,y=1.04,yaw=-26.1)","rect,1,[0.409, 0.289],(x=-0.43,y=-1.90,yaw=108.2)",,"circle,0,[0.25],(x=-0.36,y=1.65,yaw=176.9)","rect,1,[0.693, 0.302],(x=0.78,y=1.52,yaw=-84.3)","rect,1,[0.71, 0.411],(x=-1.01,y=0.52,yaw=-1.5)","rect,0,[0.42, 0.384],(x=-0.24,y=2.16,yaw=-178.6)",,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=0.21,y=-0.99,yaw=64.0)}"
"navigate to (x=-1.33,y=-1.04,yaw=73.8)",3251,0,"(x=1.03,y=1.96,yaw=-147.9)","rect,1,[0.684, 0.39],(x=0.99,y=1.25,yaw=0.6)",,"circle,0,[0.251],(x=0.37,y=1.63,yaw=178.6)",,,"rect,0,[0.383, 0.4],(x=0.24,y=2.17,yaw=2.0)",,,,,,,,,,,,,,,"{skill:manipulate_to, object_id:1, goal:(x=0.98,y=0.49,yaw=0.7)}"
"navigate to (x=-1.33,y=-1.04,yaw=73.8)",3251,1,"(x=1.00,y=1.03,yaw=-147.4)","rect,1,[0.684, 0.39],(x=0.98,y=0.49,yaw=0.7)",,"circle,0,[0.251],(x=0.37,y=1.63,yaw=178.6)",,,"rect,0,[0.383, 0.4],(x=0.24,y=2.17,yaw=2.0)",,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-1.33,y=-1.04,yaw=73.8)}"
"navigate to (x=-0.59,y=-0.03,yaw=122.6)",3252,0,"(x=1.04,y=1.96,yaw=-155.7)","circle,0,[0.187],(x=-1.05,y=-1.87,yaw=103.8)","rect,0,[0.403, 0.409],(x=0.26,y=2.20,yaw=-177.6)","circle,1,[0.337],(x=-1.12,y=-0.83,yaw=145.7)","circle,0,[0.261],(x=0.35,y=1.65,yaw=-178.9)",,"rect,1,[0.681, 0.393],(x=1.01,y=1.28,yaw=2.2)",,,,,,,,,,,,,,,"{skill:manipulate_to, object_id:6, goal:(x=1.01,y=0.51,yaw=2.3)}"
"navigate to (x=-0.59,y=-0.03,yaw=122.6)",3252,1,"(x=1.01,y=1.02,yaw=-153.5)","circle,0,[0.187],(x=-1.05,y=-1.87,yaw=103.8)","rect,0,[0.403, 0.409],(x=0.26,y=2.20,yaw=-177.6)","circle,1,[0.337],(x=-1.12,y=-0.83,yaw=145.7)","circle,0,[0.261],(x=0.35,y=1.65,yaw=-178.9)",,"rect,1,[0.681, 0.393],(x=1.01,y=0.51,yaw=2.3)",,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-0.59,y=-0.03,yaw=122.6)}"
"navigate to (x=-1.28,y=-0.24,yaw=-89.6)",3253,0,"(x=1.04,y=-1.97,yaw=166.4)","circle,0,[0.248],(x=0.38,y=-1.64,yaw=-4.0)","rect,0,[0.41, 0.412],(x=0.26,y=-2.18,yaw=-178.1)","rect,1,[0.686, 0.408],(x=1.01,y=-1.25,yaw=177.5)",,,,,,,,,,,,,,,,,,"{skill:manipulate_to, object_id:3, goal:(x=1.01,y=-0.48,yaw=178.0)}"
"navigate to (x=-1.28,y=-0.24,yaw=-89.6)",3253,1,"(x=1.03,y=-1.03,yaw=167.3)","circle,0,[0.248],(x=0.38,y=-1.64,yaw=-4.0)","rect,0,[0.41, 0.412],(x=0.26,y=-2.18,yaw=-178.1)","rect,1,[0.686, 0.408],(x=1.01,y=-0.48,yaw=178.0)",,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-1.28,y=-0.24,yaw=-89.6)}"
"navigate to (x=-1.05,y=-0.62,yaw=37.7)",3254,0,"(x=1.04,y=1.97,yaw=-149.1)",,"rect,1,[0.694, 0.394],(x=0.99,y=1.28,yaw=177.6)",,,"circle,0,[0.246],(x=0.36,y=1.64,yaw=179.6)","rect,0,[0.415, 0.406],(x=0.23,y=2.19,yaw=-179.4)",,,,,,,,,,,,,,,"{skill:manipulate_to, object_id:2, goal:(x=0.99,y=0.50,yaw=178.2)}"
"navigate to (x=-1.05,y=-0.62,yaw=37.7)",3254,1,"(x=1.00,y=1.05,yaw=-150.1)",,"rect,1,[0.694, 0.394],(x=0.99,y=0.50,yaw=178.2)",,,"circle,0,[0.246],(x=0.36,y=1.64,yaw=179.6)","rect,0,[0.415, 0.406],(x=0.23,y=2.19,yaw=-179.4)",,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-1.05,y=-0.62,yaw=37.7)}"
"navigate to (x=-0.46,y=-1.56,yaw=-63.7)",3255,0,"(x=1.02,y=1.99,yaw=-150.0)",,,"rect,1,[0.67, 0.419],(x=0.99,y=1.27,yaw=178.3)","circle,0,[0.257],(x=0.36,y=1.62,yaw=1.5)","rect,0,[0.417, 0.406],(x=0.23,y=2.19,yaw=-177.8)",,,,,,,,,,,,,,,,"{skill:manipulate_to, object_id:3, goal:(x=0.99,y=0.50,yaw=177.9)}"
"navigate to (x=-0.46,y=-1.56,yaw=-63.7)",3255,1,"(x=0.99,y=1.05,yaw=-155.3)",,,"rect,1,[0.67, 0.419],(x=0.99,y=0.50,yaw=177.9)","circle,0,[0.257],(x=0.36,y=1.62,yaw=1.5)","rect,0,[0.417, 0.406],(x=0.23,y=2.19,yaw=-177.8)",,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-0.46,y=-1.56,yaw=-63.7)}"
"navigate to (x=-1.07,y=-0.18,yaw=177.3)",3256,0,"(x=1.05,y=-1.98,yaw=157.6)","circle,0,[0.25],(x=0.37,y=-1.64,yaw=175.7)",,"circle,0,[0.346],(x=0.69,y=0.55,yaw=-104.8)","rect,0,[0.415, 0.409],(x=0.22,y=-2.17,yaw=178.8)","rect,1,[0.347, 0.477],(x=0.38,y=1.76,yaw=-125.9)","rect,1,[0.717, 0.39],(x=0.98,y=-1.26,yaw=-1.7)",,,,,,,,,,,,,,,"{skill:manipulate_to, object_id:6, goal:(x=0.99,y=-0.49,yaw=-1.4)}"
"navigate to (x=-1.07,y=-0.18,yaw=177.3)",3256,1,"(x=1.03,y=-1.05,yaw=156.8)","circle,0,[0.25],(x=0.37,y=-1.64,yaw=175.7)",,"circle,0,[0.346],(x=0.69,y=0.55,yaw=-104.8)","rect,0,[0.415, 0.409],(x=0.22,y=-2.17,yaw=178.8)","rect,1,[0.347, 0.477],(x=0.38,y=1.76,yaw=-125.9)","rect,1,[0.717, 0.39],(x=0.99,y=-0.49,yaw=-1.4)",,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-1.07,y=-0.18,yaw=177.3)}"
"navigate to (x=1.32,y=-0.20,yaw=72.0)",3257,0,"(x=-1.06,y=-2.00,yaw=21.7)",,"rect,1,[0.713, 0.383],(x=-1.00,y=-1.26,yaw=176.5)","circle,0,[0.256],(x=-0.37,y=-1.65,yaw=4.9)",,,"rect,0,[0.408, 0.399],(x=-0.23,y=-2.16,yaw=3.9)",,,,,,,,,,,,,,,"{skill:manipulate_to, object_id:2, goal:(x=-1.00,y=-0.49,yaw=176.7)}"
"navigate to (x=1.32,y=-0.20,yaw=72.0)",3257,1,"(x=-1.04,y=-1.04,yaw=21.5)",,"rect,1,[0.713, 0.383],(x=-1.00,y=-0.49,yaw=176.7)","circle,0,[0.256],(x=-0.37,y=-1.65,yaw=4.9)",,,"rect,0,[0.408, 0.399],(x=-0.23,y=-2.16,yaw=3.9)",,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=1.32,y=-0.20,yaw=72.0)}"
"navigate to (x=1.09,y=-0.16,yaw=-2.6)",3258,0,"(x=-1.06,y=-1.99,yaw=16.1)",,"rect,1,[0.671, 0.419],(x=-1.00,y=-1.27,yaw=2.4)","rect,0,[0.418, 0.404],(x=-0.26,y=-2.19,yaw=179.8)",,"circle,0,[0.249],(x=-0.37,y=-1.61,yaw=-176.0)",,,,,,,,,,,,,,,,"{skill:manipulate_to, object_id:2, goal:(x=-0.99,y=-0.50,yaw=3.2)}"
"navigate to (x=1.09,y=-0.16,yaw=-2.6)",3258,1,"(x=-1.02,y=-1.04,yaw=17.8)",,"rect,1,[0.671, 0.419],(x=-0.99,y=-0.50,yaw=3.2)","rect,0,[0.418, 0.404],(x=-0.26,y=-2.19,yaw=179.8)",,"circle,0,[0.249],(x=-0.37,y=-1.61,yaw=-176.0)",,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=1.09,y=-0.16,yaw=-2.6)}"
"navigate to (x=-1.50,y=-0.13,yaw=76.4)",3259,0,"(x=1.05,y=-1.97,yaw=135.2)","circle,0,[0.242],(x=0.37,y=-1.63,yaw=-0.5)","rect,0,[0.38, 0.39],(x=0.26,y=-2.18,yaw=-3.4)",,,,"rect,1,[0.723, 0.403],(x=1.02,y=-1.26,yaw=-179.5)",,,,,,,,,,,,,,,"{skill:manipulate_to, object_id:6, goal:(x=1.02,y=-0.49,yaw=-179.7)}"
"navigate to (x=-1.50,y=-0.13,yaw=76.4)",3259,1,"(x=1.02,y=-1.04,yaw=141.2)","circle,0,[0.242],(x=0.37,y=-1.63,yaw=-0.5)","rect,0,[0.38, 0.39],(x=0.26,y=-2.18,yaw=-3.4)",,,,"rect,1,[0.723, 0.403],(x=1.02,y=-0.49,yaw=-179.7)",,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-1.50,y=-0.13,yaw=76.4)}"
"navigate to (x=-0.49,y=0.19,yaw=163.4)",3260,0,"(x=1.04,y=-1.97,yaw=134.7)",,"circle,0,[0.258],(x=0.36,y=-1.62,yaw=-2.4)",,"rect,1,[0.731, 0.382],(x=1.00,y=-1.25,yaw=177.9)","rect,0,[0.413, 0.413],(x=0.24,y=-2.16,yaw=178.8)",,,,,,,,,,,,,,,,"{skill:manipulate_to, object_id:4, goal:(x=1.01,y=-0.48,yaw=177.6)}"
"navigate to (x=-0.49,y=0.19,yaw=163.4)",3260,1,"(x=1.00,y=-1.04,yaw=132.9)",,"circle,0,[0.258],(x=0.36,y=-1.62,yaw=-2.4)",,"rect,1,[0.731, 0.382],(x=1.01,y=-0.48,yaw=177.6)","rect,0,[0.413, 0.413],(x=0.24,y=-2.16,yaw=178.8)",,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-0.49,y=0.19,yaw=163.4)}"
"navigate to (x=-0.62,y=-0.30,yaw=-34.0)",3261,0,"(x=1.03,y=-1.99,yaw=162.1)","rect,0,[0.392, 0.386],(x=0.25,y=-2.17,yaw=-1.5)",,,,"rect,1,[0.707, 0.38],(x=1.01,y=-1.28,yaw=-0.3)","circle,0,[0.258],(x=0.35,y=-1.64,yaw=4.7)",,,,,,,,,,,,,,,"{skill:manipulate_to, object_id:5, goal:(x=1.02,y=-0.50,yaw=0.4)}"
"navigate to (x=-0.62,y=-0.30,yaw=-34.0)",3261,1,"(x=1.01,y=-1.05,yaw=161.0)","rect,0,[0.392, 0.386],(x=0.25,y=-2.17,yaw=-1.5)",,,,"rect,1,[0.707, 0.38],(x=1.02,y=-0.50,yaw=0.4)","circle,0,[0.258],(x=0.35,y=-1.64,yaw=4.7)",,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-0.62,y=-0.30,yaw=-34.0)}"
"navigate to (x=1.00,y=-0.44,yaw=96.9)",3262,0,"(x=-1.02,y=-1.98,yaw=34.7)","rect,0,[0.383, 0.385],(x=-0.25,y=-2.18,yaw=-179.6)","circle,1,[0.35],(x=1.06,y=0.44,yaw=8.9)","circle,0,[0.262],(x=-0.38,y=-1.62,yaw=3.0)",,,"rect,1,[0.723, 0.405],(x=-1.00,y=-1.27,yaw=-177.4)",,,,,,,,,,,,,,,"{skill:manipulate_to, object_id:6, goal:(x=-1.01,y=-0.50,yaw=-177.6)}"
"navigate to (x=1.00,y=-0.44,yaw=96.9)",3262,1,"(x=-1.01,y=-1.03,yaw=33.7)","rect,0,[0.383, 0.385],(x=-0.25,y=-2.18,yaw=-179.6)","circle,1,[0.35],(x=1.06,y=0.44,yaw=8.9)","circle,0,[0.262],(x=-0.38,y=-1.62,yaw=3.0)",,,"rect,1,[0.723, 0.405],(x=-1.01,y=-0.50,yaw=-177.6)",,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=1.00,y=-0.44,yaw=96.9)}"
"navigate to (x=-1.50,y=-1.15,yaw=-36.4)",3263,0,"(x=1.06,y=1.99,yaw=-144.7)",,"circle,0,[0.252],(x=0.38,y=1.62,yaw=-1.1)",,"rect,0,[0.394, 0.39],(x=0.24,y=2.19,yaw=-1.1)",,"rect,1,[0.711, 0.401],(x=0.98,y=1.27,yaw=4.0)",,,,,,,,,,,,,,,"{skill:manipulate_to, object_id:6, goal:(x=0.98,y=0.50,yaw=3.1)}"
"navigate to (x=-1.50,y=-1.15,yaw=-36.4)",3263,1,"(x=1.03,y=1.04,yaw=-145.4)",,"circle,0,[0.252],(x=0.38,y=1.62,yaw=-1.1)",,"rect,0,[0.394, 0.39],(x=0.24,y=2.19,yaw=-1.1)",,"rect,1,[0.711, 0.401],(x=0.98,y=0.50,yaw=3.1)",,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-1.50,y=-1.15,yaw=-36.4)}"
"navigate to (x=-1.50,y=-0.51,yaw=-165.5)",3264,0,"(x=1.03,y=-1.99,yaw=159.5)",,,,"circle,0,[0.258],(x=0.36,y=-1.63,yaw=176.9)","rect,1,[0.732, 0.383],(x=0.99,y=-1.28,yaw=175.6)","rect,0,[0.408, 0.386],(x=0.24,y=-2.17,yaw=-178.4)",,,,,,,,,,,,,,,"{skill:manipulate_to, object_id:5, goal:(x=0.98,y=-0.51,yaw=176.5)}"
"navigate to (x=-1.50,y=-0.51,yaw=-165.5)",3264,1,"(x=1.01,y=-1.05,yaw=158.2)",,,,"circle,0,[0.258],(x=0.36,y=-1.63,yaw=176.9)","rect,1,[0.732, 0.383],(x=0.98,y=-0.51,yaw=176.5)","rect,0,[0.408, 0.386],(x=0.24,y=-2.17,yaw=-178.4)",,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-1.50,y=-0.51,yaw=-165.5)}"
"navigate to (x=0.20,y=0.66,yaw=-3.8)",3265,0,"(x=-1.05,y=-1.97,yaw=29.3)","circle,0,[0.242],(x=-0.36,y=-1.61,yaw=-0.9)",,"rect,0,[0.404, 0.394],(x=-0.25,y=-2.20,yaw=1.0)",,"rect,1,[0.696, 0.394],(x=-0.99,y=-1.26,yaw=175.5)",,,,,,,,,,,,,,,,"{skill:manipulate_to, object_id:5, goal:(x=-0.99,y=-0.48,yaw=175.0)}"
"navigate to (x=0.20,y=0.66,yaw=-3.8)",3265,1,"(x=-1.03,y=-1.03,yaw=27.2)","circle,0,[0.242],(x=-0.36,y=-1.61,yaw=-0.9)",,"rect,0,[0.404, 0.394],(x=-0.25,y=-2.20,yaw=1.0)",,"rect,1,[0.696, 0.394],(x=-0.99,y=-0.48,yaw=175.0)",,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=0.20,y=0.66,yaw=-3.8)}"
